Address,Neighborhood,Bedrooms,Bathrooms,Square Meters,Building Age,Garden,Garage,Floors,Property Type,Heating Type,Balcony,Interior Style,View,Materials,Building Status,Price,Mapped_location,Unnamed: 0,Property Name,price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
180 Camden High Street,Notting Hill,3,1,120,14,1,1,2,Apartment,Central Heating,High-level Balcony,Minimalist,Park,Granite,New,1280000,Kensington and Chelsea,3037,Ladbroke Grove,485000,Flat / Apartment,454,1,1,1,Notting Hill,London,W11 1PG
38 Piccadilly Circus,Shoreditch,5,3,53,91,1,0,1,Apartment,Central Heating,Low-level Balcony,Industrial,Street,Marble,New,388666,Hackney,395,Wimbolt Street,1999995,House,1935,5,5,5,Shoreditch,London,E2 7BX
139 Regent Street,Shoreditch,1,2,82,49,0,0,1,Apartment,Gas Heating,Low-level Balcony,Minimalist,Park,Laminate Flooring,Renovated,601333,Hackney,2473,City Road,1977000,New development,1075,2,2,2,Shoreditch,London,EC1V 1AA
35 Oxford Street,Islington,3,2,170,27,0,0,3,Semi-Detached,Gas Heating,High-level Balcony,Minimalist,Street,Granite,New,1632000,Islington,889,Liverpool Road,1895000,House,1868,3,3,3,Islington,London,N1 0RE
44 Park Lane,Marylebone,4,2,64,88,0,0,2,Apartment,Underfloor Heating,Low-level Balcony,Classic,Street,Marble,Old,640000,Westminster,2136,Dukes Mews,4000000,House,2435,3,3,3,Marylebone,London,W1U 3ET
60 Fleet Street,Greenwich,2,1,174,59,0,0,1,Semi-Detached,Electric Heating,Low-level Balcony,Classic,City,Granite,Old,1392000,Greenwich,2049,47 Pilot Walk,995000,Penthouse,1485,3,3,3,Greenwich,London,SE10 0NW
84 Regent Street,Shoreditch,3,1,154,64,0,0,3,Apartment,Underfloor Heating,High-level Balcony,Modern,Park,Laminate Flooring,Old,1129333,Hackney,1846,Chilton Street,625000,Flat / Apartment,842,1,1,1,Shoreditch,London,E2 6EA
22 King's Road,Islington,3,1,204,70,1,1,2,Detached House,Central Heating,No Balcony,Modern,Garden,Laminate Flooring,Renovated,2448000,Islington,2019,Chantry Street,1600000,House,1195,2,2,2,Islington,London,N1 8NL
45 Park Lane,Notting Hill,1,2,229,62,1,0,2,Apartment,Underfloor Heating,No Balcony,Modern,Garden,Laminate Flooring,Renovated,2442666,Kensington and Chelsea,1281,Clarendon Road,3600000,House,1831,5,5,5,Notting Hill,London,W11 2HW
73 Baker Street,Marylebone,2,3,147,72,1,0,2,Apartment,Electric Heating,High-level Balcony,Modern,Sea,Wood,Renovated,1470000,Westminster,1710,Lisson Grove,1695000,Flat / Apartment,1636,4,4,4,Marylebone,London,NW1 6LW
148 Oxford Street,Notting Hill,1,3,137,54,1,0,3,Detached House,Central Heating,Low-level Balcony,Industrial,City,Laminate Flooring,New,2192000,Kensington and Chelsea,2920,Pembridge Villas,1795000,Flat / Apartment,1118,2,2,2,Notting Hill,London,W11 3EL
39 Piccadilly Circus,Shoreditch,5,2,117,82,0,1,2,Apartment,Gas Heating,High-level Balcony,Modern,Park,Laminate Flooring,New,858000,Hackney,2056,City Road,2000000,New development,1342,3,3,3,Shoreditch,London,EC1V 1AZ
116 Oxford Street,Marylebone,2,1,239,88,0,1,2,Detached House,Gas Heating,High-level Balcony,Modern,Garden,Wood,Renovated,3585000,Westminster,2250,Cato Street,2500000,House,1888,3,3,3,Marylebone,London,W1H 5JH
111 Fleet Street,Notting Hill,3,2,63,74,1,0,3,Semi-Detached,Underfloor Heating,High-level Balcony,Minimalist,Garden,Laminate Flooring,Old,806400,Kensington and Chelsea,1199,Westbourne Park Road,4500000,House,2742,6,6,6,Notting Hill,London,W2 5PH
182 Baker Street,Marylebone,4,3,192,84,1,1,3,Detached House,Central Heating,Low-level Balcony,Industrial,City,Granite,New,2880000,Westminster,2864,Nottingham Place,3500000,Flat / Apartment,1956,3,3,3,Marylebone,London,W1U 5NH
154 Baker Street,Chelsea,2,3,151,41,0,0,3,Semi-Detached,Central Heating,No Balcony,Minimalist,Garden,Wood,New,2416000,Kensington and Chelsea,1117,Smith Terrace,2975000,House,2041,3,3,3,Chelsea,London,SW3 4DL
191 Regent Street,Greenwich,2,3,217,34,0,0,2,Apartment,Electric Heating,High-level Balcony,Minimalist,Street,Granite,Renovated,1446666,Greenwich,1752,Chandlers Avenue,399995,Flat / Apartment,553,1,1,1,Greenwich,London,SE10 0NN
111 King's Road,Notting Hill,3,1,222,66,1,1,2,Detached House,Gas Heating,Low-level Balcony,Industrial,Garden,Wood,Old,3552000,Kensington and Chelsea,3262,Arundel Gardens,9500000,House,4683,6,6,6,Notting Hill,London,W11 2LB
183 Piccadilly Circus,Chelsea,3,2,94,47,1,1,1,Detached House,Central Heating,No Balcony,Minimalist,Garden,Granite,Renovated,1880000,Kensington and Chelsea,3471,Herbert Crescent,4950000,Flat / Apartment,1581,3,3,3,Chelsea,London,SW1X 0HB
18 Bond Street,Greenwich,1,1,186,71,0,1,3,Semi-Detached,Gas Heating,Low-level Balcony,Classic,Garden,Wood,Old,1488000,Greenwich,2688,Chandlers Avenue,395000,Flat / Apartment,553,1,1,1,Greenwich,London,SE10 0NN
122 Oxford Street,Marylebone,3,2,211,78,1,0,2,Detached House,Underfloor Heating,No Balcony,Classic,City,Marble,Old,3165000,Westminster,3321,Mansfield Street,4950000,Flat / Apartment,2097,3,3,3,Marylebone,London,W1G 9NF
77 Piccadilly Circus,Islington,1,1,106,92,0,0,3,Apartment,Central Heating,Low-level Balcony,Modern,Park,Marble,Old,848000,Islington,3014,Cross Street,850000,Flat / Apartment,770,2,2,2,Islington,London,N1 2BA
125 Oxford Street,Islington,3,1,64,43,0,0,1,Apartment,Underfloor Heating,High-level Balcony,Minimalist,City,Laminate Flooring,Old,512000,Islington,1083,Reliance Wharf,435000,Flat / Apartment,527,1,1,1,Islington,London,N1 5ET
29 Fleet Street,Marylebone,4,1,57,69,0,1,3,Detached House,Electric Heating,No Balcony,Classic,Garden,Laminate Flooring,Old,855000,Westminster,3394,Upper Wimpole Street,14750000,House,9053,9,9,9,Marylebone,London,W1G 6LG
22 King's Road,Islington,3,1,204,70,1,1,2,Detached House,Central Heating,No Balcony,Modern,Garden,Laminate Flooring,Renovated,2448000,Islington,356,Ripplevale Grove,1150000,Flat / Apartment,1074,3,3,3,Islington,London,N1 1HT
110 King's Road,Marylebone,4,2,94,83,1,1,2,Detached House,Gas Heating,High-level Balcony,Minimalist,Sea,Wood,Old,1410000,Westminster,73,Portland Place,2100000,Flat / Apartment,1208,3,3,3,Marylebone,London,W1B 1NX
147 Baker Street,Camden,3,1,122,21,1,1,3,Detached House,Central Heating,High-level Balcony,Classic,Park,Granite,New,1586000,Camden,2521,Arlington Road,699999,Flat / Apartment,759,1,1,1,Camden,London,NW1 7ET
81 Regent Street,Marylebone,1,3,111,69,0,1,2,Semi-Detached,Electric Heating,Low-level Balcony,Minimalist,Park,Laminate Flooring,Old,1332000,Westminster,1285,Montagu Square,1375000,Flat / Apartment,1002,2,2,2,Marylebone,London,W1H 2LW
160 Oxford Street,Chelsea,4,1,225,30,1,1,1,Detached House,Electric Heating,No Balcony,Classic,Street,Wood,New,4500000,Kensington and Chelsea,3471,Herbert Crescent,4950000,Flat / Apartment,1581,3,3,3,Chelsea,London,SW1X 0HB
20 Regent Street,Islington,2,1,201,42,0,1,3,Semi-Detached,Central Heating,High-level Balcony,Minimalist,Garden,Granite,New,1929600,Islington,1025,Stonefield Street,499950,Flat / Apartment,386,1,1,1,Islington,London,N1 0HW
44 Park Lane,Marylebone,4,2,64,88,0,0,2,Apartment,Underfloor Heating,Low-level Balcony,Classic,Street,Marble,Old,640000,Westminster,3253,Upper Wimpole Street,12750000,House,7526,6,6,6,Marylebone,London,W1G 6LG
171 Oxford Street,Notting Hill,4,1,227,98,0,1,1,Detached House,Central Heating,High-level Balcony,Modern,City,Wood,Old,3631999,Kensington and Chelsea,232,Rede Place,2700000,House,1791,3,3,3,Notting Hill,London,W2 4TU
45 Regent Street,Shoreditch,3,3,133,45,1,1,2,Apartment,Underfloor Heating,No Balcony,Industrial,Park,Granite,Renovated,975333,Hackney,2473,City Road,1977000,New development,1075,2,2,2,Shoreditch,London,EC1V 1AA
170 Bond Street,Chelsea,2,3,216,12,0,1,3,Apartment,Central Heating,Low-level Balcony,Modern,Street,Marble,New,2880000,Kensington and Chelsea,766,Sloane Court East,750000,Flat / Apartment,599,1,1,1,Chelsea,London,SW3 4TQ
81 Fleet Street,Notting Hill,1,3,79,35,1,1,3,Detached House,Electric Heating,Low-level Balcony,Industrial,Garden,Marble,Old,1264000,Kensington and Chelsea,1281,Clarendon Road,3600000,House,1831,5,5,5,Notting Hill,London,W11 2HW
122 Camden High Street,Kensington,4,3,111,59,1,0,1,Semi-Detached,Underfloor Heating,High-level Balcony,Industrial,Garden,Laminate Flooring,Renovated,1687200,Kensington and Chelsea,507,Queen's Gate Gardens,1595000,Flat / Apartment,1170,2,2,2,Kensington,London,SW7 5RR
85 Oxford Street,Notting Hill,4,3,112,37,0,0,3,Apartment,Electric Heating,No Balcony,Minimalist,Garden,Laminate Flooring,Old,1194666,Kensington and Chelsea,3262,Arundel Gardens,9500000,House,4683,6,6,6,Notting Hill,London,W11 2LB
189 Oxford Street,Chelsea,2,1,105,14,0,1,3,Semi-Detached,Central Heating,Low-level Balcony,Minimalist,City,Marble,Old,1680000,Kensington and Chelsea,3025,Cathcart Road,6250000,House,3215,5,5,5,Chelsea,London,SW10 9NN
88 Camden High Street,Marylebone,2,3,51,21,1,1,3,Detached House,Gas Heating,High-level Balcony,Classic,Park,Marble,Old,765000,Westminster,3321,Mansfield Street,4950000,Flat / Apartment,2097,3,3,3,Marylebone,London,W1G 9NF
64 Camden High Street,Islington,3,3,119,9,1,1,2,Detached House,Underfloor Heating,High-level Balcony,Industrial,Street,Wood,Renovated,1428000,Islington,2558,Pied Bull Yard,1250000,House,1013,3,3,3,Islington,London,N1 0EU
46 Bond Street,Notting Hill,5,3,114,53,1,0,1,Detached House,Electric Heating,No Balcony,Classic,Street,Granite,Renovated,1824000,Kensington and Chelsea,570,Westbourne Park Road,4750000,New development,2552,4,4,4,Notting Hill,London,W2 5PH
123 Fleet Street,Camden,2,2,246,90,1,0,1,Semi-Detached,Electric Heating,High-level Balcony,Minimalist,City,Laminate Flooring,New,2558400,Camden,398,St. Augustines Road,499000,Flat / Apartment,451,1,1,1,Camden,London,NW1 9RN
172 Bond Street,Marylebone,1,2,166,96,1,0,1,Semi-Detached,Underfloor Heating,Low-level Balcony,Classic,Garden,Wood,New,1992000,Westminster,2864,Nottingham Place,3500000,Flat / Apartment,1956,3,3,3,Marylebone,London,W1U 5NH
142 Fleet Street,Marylebone,2,1,188,27,0,0,1,Semi-Detached,Central Heating,Low-level Balcony,Minimalist,Park,Wood,Old,2256000,Westminster,2231,Wesley Street,5250000,House,3092,5,5,5,Marylebone,London,W1G 8PT
146 Strand,Notting Hill,1,1,109,17,0,0,3,Semi-Detached,Electric Heating,High-level Balcony,Classic,Street,Laminate Flooring,New,1395199,Kensington and Chelsea,3141,Hereford Road,725000,Flat / Apartment,521,1,1,1,Notting Hill,London,W2 5AJ
30 Bond Street,Shoreditch,4,3,100,26,0,0,1,Detached House,Central Heating,No Balcony,Modern,Street,Laminate Flooring,Old,1100000,Hackney,2474,City Road,2379000,New development,1372,3,3,3,Shoreditch,London,EC1V 1AA
195 King's Road,Chelsea,2,1,192,73,1,0,3,Semi-Detached,Central Heating,No Balcony,Industrial,City,Marble,Renovated,3072000,Kensington and Chelsea,3025,Cathcart Road,6250000,House,3215,5,5,5,Chelsea,London,SW10 9NN
18 Strand,Marylebone,5,2,99,28,1,1,1,Apartment,Underfloor Heating,High-level Balcony,Modern,Garden,Marble,Old,990000,Westminster,3321,Mansfield Street,4950000,Flat / Apartment,2097,3,3,3,Marylebone,London,W1G 9NF
79 Piccadilly Circus,Islington,1,3,218,89,1,1,1,Detached House,Central Heating,No Balcony,Modern,Sea,Marble,Renovated,2616000,Islington,1727,Cloudesley Road,599950,Flat / Apartment,432,1,1,1,Islington,London,N1 0EN
173 Regent Street,Islington,5,3,230,87,0,1,1,Detached House,Electric Heating,Low-level Balcony,Minimalist,City,Granite,New,2760000,Islington,1727,Cloudesley Road,599950,Flat / Apartment,432,1,1,1,Islington,London,N1 0EN
149 Park Lane,Greenwich,1,3,236,73,0,1,3,Apartment,Central Heating,No Balcony,Industrial,Sea,Laminate Flooring,Renovated,1573333,Greenwich,2076,47 Pilot Walk,720000,Flat / Apartment,987,2,2,2,Greenwich,London,SE10 0NW
186 Baker Street,Islington,1,3,117,82,0,1,3,Semi-Detached,Gas Heating,Low-level Balcony,Classic,Street,Wood,Old,1123200,Islington,502,Morton Road,1800000,House,1919,3,3,3,Islington,London,N1 3BD
79 Piccadilly Circus,Islington,1,3,218,89,1,1,1,Detached House,Central Heating,No Balcony,Modern,Sea,Marble,Renovated,2616000,Islington,1830,Alwyne Square,2650000,House,2314,5,5,5,Islington,London,N1 2JX
34 Strand,Marylebone,4,1,127,97,0,0,3,Apartment,Electric Heating,No Balcony,Industrial,City,Marble,New,1270000,Westminster,2384,Wimpole Street,2575000,Flat / Apartment,1374,3,3,3,Marylebone,London,W1G 8AE
31 Baker Street,Greenwich,3,2,138,77,0,0,2,Detached House,Electric Heating,Low-level Balcony,Minimalist,Garden,Wood,Old,1380000,Greenwich,1752,Chandlers Avenue,399995,Flat / Apartment,553,1,1,1,Greenwich,London,SE10 0NN
193 King's Road,Marylebone,4,1,204,52,0,0,1,Detached House,Electric Heating,No Balcony,Classic,Sea,Granite,New,3060000,Westminster,2383,Hallam Street,1095000,Flat / Apartment,663,2,2,2,Marylebone,London,W1W 6JN
81 Baker Street,Notting Hill,1,1,102,41,0,1,3,Semi-Detached,Central Heating,No Balcony,Classic,Street,Laminate Flooring,Renovated,1305600,Kensington and Chelsea,3219,Northumberland Place,3250000,House,1929,4,4,4,Notting Hill,London,W2 5BS
143 Piccadilly Circus,Islington,2,2,96,8,1,1,3,Semi-Detached,Central Heating,No Balcony,Industrial,Garden,Granite,Old,921600,Islington,1480,Wallace Road,899000,Flat / Apartment,1003,2,2,2,Islington,London,N1 2PG
178 Park Lane,Marylebone,5,1,238,88,0,1,1,Apartment,Underfloor Heating,Low-level Balcony,Modern,City,Granite,New,2380000,Westminster,72,Weymouth Mews,3500000,House,1763,4,4,4,Marylebone,London,W1G 7EB
155 Piccadilly Circus,Camden,3,1,178,47,1,1,3,Semi-Detached,Underfloor Heating,No Balcony,Minimalist,Park,Marble,Renovated,1851199,Camden,2966,Plender Street,525000,Flat / Apartment,565,1,1,1,Camden,London,NW1 0LB
182 Fleet Street,Marylebone,4,2,163,24,0,0,1,Detached House,Gas Heating,No Balcony,Minimalist,Garden,Laminate Flooring,New,2445000,Westminster,3336,Bryanston Mews West,5250000,House,3108,8,8,8,Marylebone,London,W1H 2BW
48 Fleet Street,Camden,4,1,147,29,1,1,3,Apartment,Underfloor Heating,Low-level Balcony,Modern,Sea,Wood,Renovated,1274000,Camden,2948,Inverness Street,450000,Flat / Apartment,500,1,1,1,Camden,London,NW1 7HB
139 Camden High Street,Shoreditch,1,1,100,12,1,1,2,Semi-Detached,Underfloor Heating,No Balcony,Classic,Sea,Granite,New,879999,Hackney,2474,City Road,2379000,New development,1372,3,3,3,Shoreditch,London,EC1V 1AA
179 Bond Street,Marylebone,1,3,189,83,1,0,1,Detached House,Underfloor Heating,No Balcony,Minimalist,Park,Marble,Old,2835000,Westminster,73,Portland Place,2100000,Flat / Apartment,1208,3,3,3,Marylebone,London,W1B 1NX
183 Strand,Islington,4,3,125,81,0,0,3,Apartment,Central Heating,High-level Balcony,Minimalist,Park,Marble,Old,1000000,Islington,744,Alwyne Road,3500000,House,2216,4,4,4,Islington,London,N1 2HW
39 Piccadilly Circus,Islington,5,1,237,53,1,1,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1561,Lonsdale Square,550000,Flat / Apartment,399,1,1,1,Islington,London,N1 1EW
188 Baker Street,Westminster,5,3,195,28,1,1,1,Apartment,Gas Heating,Low-level Balcony,Minimalist,City,Laminate Flooring,Old,2340000,Westminster,878,Maunsel Street,2950000,House,2349,5,5,5,Westminster,London,SW1P 2QN
77 Piccadilly Circus,Islington,1,1,106,92,0,0,3,Apartment,Central Heating,Low-level Balcony,Modern,Park,Marble,Old,848000,Islington,3013,Southgate Road,1695000,House,2160,4,4,4,Islington,London,N1 3HX
137 Strand,Marylebone,2,2,213,78,0,0,3,Apartment,Electric Heating,Low-level Balcony,Classic,Park,Marble,Renovated,2130000,Westminster,1285,Montagu Square,1375000,Flat / Apartment,1002,2,2,2,Marylebone,London,W1H 2LW
171 Park Lane,Marylebone,1,1,88,57,1,0,3,Detached House,Gas Heating,High-level Balcony,Classic,Garden,Granite,Renovated,1320000,Westminster,2753,Bickenhall Street,2900000,Penthouse,1455,2,2,2,Marylebone,London,W1U 6BN
139 Fleet Street,Islington,5,1,78,24,0,1,2,Detached House,Underfloor Heating,No Balcony,Modern,Park,Wood,New,936000,Islington,356,Ripplevale Grove,1150000,Flat / Apartment,1074,3,3,3,Islington,London,N1 1HT
64 Strand,Chelsea,4,1,109,30,1,1,1,Detached House,Electric Heating,No Balcony,Minimalist,Street,Laminate Flooring,New,2180000,Kensington and Chelsea,171,Redcliffe Gardens,1195000,Flat / Apartment,872,2,2,2,Chelsea,London,SW10 9HA
21 King's Road,Shoreditch,4,1,83,39,0,0,2,Detached House,Underfloor Heating,High-level Balcony,Industrial,Garden,Wood,Renovated,913000,Hackney,395,Wimbolt Street,1999995,House,1935,5,5,5,Shoreditch,London,E2 7BX
193 Baker Street,Marylebone,4,1,111,28,1,0,3,Semi-Detached,Central Heating,High-level Balcony,Classic,Garden,Wood,Old,1332000,Westminster,2785,Dunstable Mews,2250000,House,1269,2,2,2,Marylebone,London,W1G 6BT
8 Oxford Street,Marylebone,4,1,96,81,0,0,2,Detached House,Gas Heating,Low-level Balcony,Industrial,Sea,Marble,New,1440000,Westminster,2383,Hallam Street,1095000,Flat / Apartment,663,2,2,2,Marylebone,London,W1W 6JN
186 Baker Street,Islington,1,3,117,82,0,1,3,Semi-Detached,Gas Heating,Low-level Balcony,Classic,Street,Wood,Old,1123200,Islington,1727,Cloudesley Road,599950,Flat / Apartment,432,1,1,1,Islington,London,N1 0EN
18 Camden High Street,Marylebone,5,2,80,87,1,0,1,Detached House,Electric Heating,High-level Balcony,Modern,Garden,Granite,Renovated,1200000,Westminster,2525,Portland Place,4900000,Penthouse,2122,2,2,2,Marylebone,London,W1B 1PW
53 Bond Street,Islington,3,1,87,19,1,1,2,Semi-Detached,Gas Heating,High-level Balcony,Minimalist,Park,Laminate Flooring,New,835200,Islington,260,Rydon Street,1395000,House,1510,3,3,3,Islington,London,N1 7AL
8 Camden High Street,Shoreditch,5,2,183,30,1,0,2,Apartment,Gas Heating,Low-level Balcony,Classic,City,Laminate Flooring,New,1342000,Hackney,2474,City Road,2379000,New development,1372,3,3,3,Shoreditch,London,EC1V 1AA
162 Fleet Street,Marylebone,5,2,148,5,0,1,2,Semi-Detached,Electric Heating,High-level Balcony,Industrial,City,Wood,New,1776000,Westminster,3321,Mansfield Street,4950000,Flat / Apartment,2097,3,3,3,Marylebone,London,W1G 9NF
192 King's Road,Notting Hill,3,1,149,72,0,1,2,Detached House,Gas Heating,Low-level Balcony,Minimalist,Street,Granite,Renovated,2384000,Kensington and Chelsea,570,Westbourne Park Road,4750000,New development,2552,4,4,4,Notting Hill,London,W2 5PH
84 Regent Street,Marylebone,3,1,80,79,0,1,2,Detached House,Gas Heating,No Balcony,Classic,City,Granite,New,1200000,Westminster,3321,Mansfield Street,4950000,Flat / Apartment,2097,3,3,3,Marylebone,London,W1G 9NF
99 Oxford Street,Marylebone,5,2,70,47,0,0,1,Detached House,Electric Heating,Low-level Balcony,Classic,Park,Laminate Flooring,Old,1050000,Westminster,1285,Montagu Square,1375000,Flat / Apartment,1002,2,2,2,Marylebone,London,W1H 2LW
140 Fleet Street,Islington,3,3,143,19,1,1,1,Detached House,Underfloor Heating,High-level Balcony,Minimalist,City,Wood,Old,1716000,Islington,529,Eagle Wharf Road,895000,New development,1033,3,3,3,Islington,London,N1 7EG
80 Piccadilly Circus,Islington,3,2,113,61,1,1,3,Detached House,Central Heating,No Balcony,Minimalist,Park,Marble,New,1356000,Islington,1480,Wallace Road,899000,Flat / Apartment,1003,2,2,2,Islington,London,N1 2PG
186 Oxford Street,Kensington,4,2,152,81,0,1,2,Semi-Detached,Central Heating,High-level Balcony,Industrial,Garden,Wood,Old,2310400,Kensington and Chelsea,3448,Pembroke Square,4950000,House,2881,4,4,4,Kensington,London,W8 6PD
182 Fleet Street,Marylebone,4,2,163,24,0,0,1,Detached House,Gas Heating,No Balcony,Minimalist,Garden,Laminate Flooring,New,2445000,Westminster,1653,Gloucester Place,1050000,Flat / Apartment,848,3,3,3,Marylebone,London,W1U 6AW
83 Fleet Street,Notting Hill,3,2,153,1,1,1,3,Detached House,Electric Heating,No Balcony,Industrial,Park,Laminate Flooring,New,2448000,Kensington and Chelsea,936,Stanley Crescent,3450000,Penthouse,1575,2,2,2,Notting Hill,London,W11 2NA
138 Strand,Greenwich,2,1,88,57,0,0,3,Apartment,Electric Heating,Low-level Balcony,Minimalist,City,Laminate Flooring,Renovated,586666,Greenwich,2049,47 Pilot Walk,995000,Penthouse,1485,3,3,3,Greenwich,London,SE10 0NW
55 Baker Street,Islington,1,1,243,94,1,0,2,Detached House,Central Heating,High-level Balcony,Industrial,City,Granite,New,2916000,Islington,985,Alwyne Road,4200000,House,2968,3,3,3,Islington,London,N1 2HN
172 Bond Street,Marylebone,1,2,166,96,1,0,1,Semi-Detached,Underfloor Heating,Low-level Balcony,Classic,Garden,Wood,New,1992000,Westminster,742,Shillibeer Place,1750000,House,1224,3,3,3,Marylebone,London,W1H 4DR
78 Fleet Street,Marylebone,2,1,124,8,1,1,3,Apartment,Electric Heating,High-level Balcony,Classic,City,Wood,New,1240000,Westminster,73,Portland Place,2100000,Flat / Apartment,1208,3,3,3,Marylebone,London,W1B 1NX
48 Regent Street,Chelsea,2,1,80,2,1,0,2,Semi-Detached,Underfloor Heating,No Balcony,Modern,Sea,Laminate Flooring,Old,1280000,Kensington and Chelsea,965,Drayton Gardens,4750000,House,3104,6,6,6,Chelsea,London,SW10 9RY
169 Bond Street,Notting Hill,4,3,59,93,0,0,2,Detached House,Gas Heating,No Balcony,Classic,City,Wood,Old,943999,Kensington and Chelsea,2920,Pembridge Villas,1795000,Flat / Apartment,1118,2,2,2,Notting Hill,London,W11 3EL
132 Baker Street,Islington,5,3,99,17,0,1,2,Semi-Detached,Gas Heating,No Balcony,Minimalist,Street,Marble,Renovated,950400,Islington,2071,Cross Street,3300000,House,2640,5,5,5,Islington,London,N1 2BH
173 Camden High Street,Marylebone,2,2,54,3,1,0,1,Semi-Detached,Central Heating,Low-level Balcony,Classic,Park,Marble,Renovated,648000,Westminster,2785,Dunstable Mews,2250000,House,1269,2,2,2,Marylebone,London,W1G 6BT
119 Regent Street,Westminster,2,1,194,11,0,1,3,Semi-Detached,Gas Heating,Low-level Balcony,Industrial,Garden,Granite,New,2793600,Westminster,3310,Vincent Square,1425000,Flat / Apartment,1218,2,2,2,Westminster,London,SW1P 2PQ
11 Piccadilly Circus,Islington,2,2,143,41,1,0,2,Detached House,Underfloor Heating,High-level Balcony,Industrial,City,Wood,New,1716000,Islington,985,Alwyne Road,4200000,House,2968,3,3,3,Islington,London,N1 2HN
118 Park Lane,Marylebone,2,1,231,29,0,0,1,Apartment,Electric Heating,No Balcony,Industrial,Park,Laminate Flooring,New,2310000,Westminster,741,Bryanston Square,2200000,Flat / Apartment,1163,3,3,3,Marylebone,London,W1H 2DH
55 Baker Street,Islington,1,1,243,94,1,0,2,Detached House,Central Heating,High-level Balcony,Industrial,City,Granite,New,2916000,Islington,1480,Wallace Road,899000,Flat / Apartment,1003,2,2,2,Islington,London,N1 2PG
68 Oxford Street,Shoreditch,2,2,234,56,0,1,2,Semi-Detached,Electric Heating,High-level Balcony,Modern,Garden,Laminate Flooring,New,2059200,Hackney,2057,City Road,1000000,New development,772,2,2,2,Shoreditch,London,EC1V 1AZ
113 Baker Street,Islington,4,3,226,92,1,1,2,Detached House,Gas Heating,Low-level Balcony,Modern,Sea,Granite,Renovated,2712000,Islington,985,Alwyne Road,4200000,House,2968,3,3,3,Islington,London,N1 2HN
20 Regent Street,Islington,2,1,201,42,0,1,3,Semi-Detached,Central Heating,High-level Balcony,Minimalist,Garden,Granite,New,1929600,Islington,1289,Canonbury Square,2500000,House,2537,6,6,6,Islington,London,N1 2AU
25 Baker Street,Chelsea,4,3,209,82,1,0,1,Semi-Detached,Underfloor Heating,Low-level Balcony,Modern,Sea,Granite,Renovated,3344000,Kensington and Chelsea,2568,Markham Street,2950000,House,1415,3,3,3,Chelsea,London,SW3 3NP
182 Fleet Street,Kensington,2,2,169,63,1,1,1,Semi-Detached,Gas Heating,Low-level Balcony,Classic,City,Laminate Flooring,Renovated,2568799,Kensington and Chelsea,3448,Pembroke Square,4950000,House,2881,4,4,4,Kensington,London,W8 6PD
50 Park Lane,Islington,1,3,64,24,0,1,2,Apartment,Underfloor Heating,No Balcony,Classic,Sea,Granite,Old,512000,Islington,1025,Stonefield Street,499950,Flat / Apartment,386,1,1,1,Islington,London,N1 0HW
125 Camden High Street,Islington,2,1,239,66,1,0,2,Apartment,Electric Heating,Low-level Balcony,Minimalist,Sea,Wood,New,1912000,Islington,24,College Cross,550000,Flat / Apartment,479,1,1,1,Islington,London,N1 1PT
84 Fleet Street,Westminster,3,3,82,18,0,0,2,Apartment,Gas Heating,No Balcony,Industrial,Park,Marble,Renovated,984000,Westminster,1882,Rochester Row,995000,Flat / Apartment,747,2,2,2,Westminster,London,SW1P 1LQ
84 Bond Street,Islington,4,2,96,10,1,0,2,Detached House,Electric Heating,No Balcony,Minimalist,Park,Wood,Renovated,1152000,Islington,1083,Reliance Wharf,435000,Flat / Apartment,527,1,1,1,Islington,London,N1 5ET
122 King's Road,Marylebone,4,3,211,3,0,0,1,Apartment,Electric Heating,High-level Balcony,Classic,Garden,Marble,New,2110000,Westminster,3251,Harley Street,18500000,House,8603,6,6,6,Marylebone,London,W1G 6BF
81 Regent Street,Marylebone,1,3,111,69,0,1,2,Semi-Detached,Electric Heating,Low-level Balcony,Minimalist,Park,Laminate Flooring,Old,1332000,Westminster,742,Shillibeer Place,1750000,House,1224,3,3,3,Marylebone,London,W1H 4DR
173 Regent Street,Islington,5,3,230,87,0,1,1,Detached House,Electric Heating,Low-level Balcony,Minimalist,City,Granite,New,2760000,Islington,985,Alwyne Road,4200000,House,2968,3,3,3,Islington,London,N1 2HN
65 Strand,Westminster,5,3,153,86,1,0,1,Detached House,Gas Heating,High-level Balcony,Classic,Garden,Marble,New,2754000,Westminster,79,Great Peter Street,1100000,New development,791,2,2,2,Westminster,London,SW1P 2BN
83 Fleet Street,Islington,5,3,155,48,0,0,1,Detached House,Gas Heating,No Balcony,Industrial,Street,Marble,New,1860000,Islington,1106,Buckingham Road,699950,House,1255,1,1,1,Islington,London,N1 4JA
77 Fleet Street,Camden,2,1,174,74,0,1,1,Apartment,Gas Heating,High-level Balcony,Modern,Park,Laminate Flooring,Old,1508000,Camden,269,Murray Mews,1395000,House,1587,3,3,3,Camden,London,NW1 9RJ
34 Strand,Marylebone,4,1,127,97,0,0,3,Apartment,Electric Heating,No Balcony,Industrial,City,Marble,New,1270000,Westminster,3336,Bryanston Mews West,5250000,House,3108,8,8,8,Marylebone,London,W1H 2BW
